library_id,name,street,city,state,zip,latitude,longitude,full_address
366375806,Estancia Public Library,601 South 10th Street,Estancia,NM,87016,34.756513,-106.062663,"601 South 10th Street, Estancia, NM, 87016"
5939833995,Octavia Fellin Public Library,115 West Hill Avenue,Gallup,NM,87301,35.525168,-108.741166,"115 West Hill Avenue, Gallup, NM, 87301"
366376018,Hobbs Public Library,509 North Shipp Street,Hobbs,NM,88240,32.705551,-103.138131,"509 North Shipp Street, Hobbs, NM, 88240"
12533564935,Jemez Pueblo Library,20 Mission Road,Jemez Pueblo / Walatowa,NM,87024,35.612412,-106.724976,"20 Mission Road, Jemez Pueblo / Walatowa, NM, 87024"
366375638,Jemez Springs Community Library,30 Jemez Springs Plaza,Jemez Springs,NM,87025,35.771407,-106.691221,"30 Jemez Springs Plaza, Jemez Springs, NM, 87025"
3648100150,Rio Abajo Community Library,28 South Calle de Centro,La Joya,NM,87028,34.342050,-106.846475,"28 South Calle de Centro, La Joya, NM, 87028"
2622401298,Mesa Public Library,2400 Central Avenue,Los Alamos,NM,87544,35.882891,-106.303960,"2400 Central Avenue, Los Alamos, NM, 87544"
9298406151,Ortiz Mountain Community Library,Turquoise Trail NM-14,Madrid,NM,,35.405669,-106.153594,"Turquoise Trail NM-14, Madrid, NM"
366375726,Mescalero Community Center Library,148 Cottonwood Drive,Mescalero,NM,88340,33.156214,-105.783226,"148 Cottonwood Drive, Mescalero, NM, 88340"
366375779,Lockwood Library,,Montezuma,NM,87731,35.654764,-105.282577,"Montezuma, NM, 87731"
366375783,Moriarty Community Library,202 Broadway,Moriarty,NM,87035,35.003092,-106.049470,"202 Broadway, Moriarty, NM, 87035"
366375782,Navajo Community Library,Walnut Avenue,Navajo,NM,87328,35.906052,-109.032295,"Walnut Avenue, Navajo, NM, 87328"
10285687614,Placitas Library,453 NM 165,Placitas,NM,87043,35.307318,-106.459613,"453 NM 165, Placitas, NM, 87043"
